Dataset {
    Grid {
     ARRAY:
        Float32 vwnd[time = 12][lat = 94][lon = 192];
     MAPS:
        Float64 time[time = 12];
        Float32 lat[lat = 94];
        Float32 lon[lon = 192];
    } vwnd;
} Datasets/ncep.reanalysis.derived/surface_gauss/vwnd.10m.mon.ltm.nc;
---------------------------------------------
vwnd.vwnd[12][94][192]
[0][0], -0.31367055, -0.25588048, -0.19892864, -0.1435683, -0.08676191, -0.03216536, 0.022082204, 0.07557128, 0.12809828, 0.17834021, 0.22912546, 0.27879718, 0.32768425, 0.37472722, 0.4204961, 0.46680793, 0.51098514, 0.55358773, 0.5973619, 0.6372812, 0.67668957, 0.71591544, 0.7531089, 0.7896252, 0.82649076, 0.85926515, 0.8944476, 0.9260014, 0.9576897, 0.9893888, 1.018991, 1.0481092, 1.0759103, 1.104335, 1.1313618, 1.1590124, 1.183706, 1.2091146, 1.2344208, 1.2580124, 1.2811897, 1.3048238, 1.3270122, 1.3502167, 1.37198, 1.3940551, 1.4162595, 1.4381626, 1.4591681, 1.4813293, 1.501593, 1.5216467, 1.5422328, 1.5606252, 1.5786035, 1.5972165, 1.6130447, 1.6297759, 1.6439689, 1.6568295, 1.6693134, 1.6796949, 1.6887219, 1.6975826, 1.7040447, 1.7094257, 1.7123078, 1.7157433, 1.7158667, 1.7145611, 1.7104744, 1.7048827, 1.696093, 1.6867279, 1.6757598, 1.6607916, 1.6433078, 1.6241091, 1.6021845, 1.5775012, 1.5502163, 1.5215552, 1.4872113, 1.4528135, 1.4154264, 1.3743832, 1.3314692, 1.2843993, 1.2365714, 1.1869155, 1.1347271, 1.0797544, 1.0223453, 0.9638886, 0.90255535, 0.8393348, 0.77530265, 0.7107218, 0.64330274, 0.57322735, 0.50456595, 0.4342758, 0.36265218, 0.29136172, 0.21945833, 0.14617907, 0.071770355, -0.0027563602, -0.076778084, -0.15016504, -0.2229178, -0.2952942, -0.3689446, -0.44099328, -0.5118908, -0.58163285, -0.6507241, -0.7186759, -0.7853158, -0.8501005, -0.91438556, -0.97748226, -1.037821, -1.0969017, -1.1554987, -1.2107617, -1.2662348, -1.318052, -1.3679287, -1.4161218, -1.462939, -1.5073103, -1.5491757, -1.589907, -1.6294178, -1.6657188, -1.6999127, -1.7329445, -1.7640952, -1.7935842, -1.8206652, -1.8455414, -1.8699824, -1.89188, -1.9115577, -1.9299607, -1.9452296, -1.959192, -1.972547, -1.9806219, -1.9872563, -1.9929019, -1.9943104, -1.9930632, -1.9893528, -1.9819338, -1.9736648, -1.962305, -1.9472508, -1.9293263, -1.9094504, -1.8859231, -1.8606814, -1.8326114, -1.8026597, -1.770563, -1.7341921, -1.6960629, -1.6557941, -1.6126436, -1.5696007, -1.5221813, -1.4732782, -1.4226166, -1.3695576, -1.3171383, -1.261966, -1.2055953, -1.1488266, -1.090224, -1.0320362, -0.9720309, -0.9110791, -0.8506599, -0.7915255, -0.73183715, -0.66991264, -0.6102137, -0.5497995, -0.49028882, -0.43165967, -0.37231034
[0][1], -0.6883318, -0.6771545, -0.66107374, -0.6427244, -0.6201866, -0.595477, -0.56439114, -0.5317136, -0.49490178, -0.45721895, -0.4097942, -0.36308986, -0.31324053, -0.26029953, -0.20254692, -0.14666538, -0.087799564, -0.025573766, 0.032609086, 0.09246381, 0.15082413, 0.20962502, 0.26544783, 0.32190472, 0.37638873, 0.43043172, 0.48539394, 0.5367218, 0.58860373, 0.63716286, 0.6893241, 0.73729724, 0.78597456, 0.83337265, 0.88160884, 0.9280609, 0.9726683, 1.018238, 1.0655233, 1.1090178, 1.150969, 1.1937917, 1.2358835, 1.2740338, 1.3138995, 1.3519478, 1.3904532, 1.4237113, 1.4591576, 1.4926951, 1.5244262, 1.5547115, 1.582475, 1.6080449, 1.63448, 1.6583132, 1.6800336, 1.7010658, 1.7200179, 1.737781, 1.7537385, 1.7688779, 1.7828885, 1.7960179, 1.8068459, 1.8157437, 1.8231465, 1.8274533, 1.8298298, 1.8297594, 1.8275335, 1.821324, 1.8124156, 1.8000818, 1.7837377, 1.7652923, 1.7421359, 1.715297, 1.6853615, 1.6506416, 1.6118238, 1.5689584, 1.521238, 1.4699963, 1.4145176, 1.3567921, 1.2944907, 1.2275821, 1.1604639, 1.0906092, 1.0178187, 0.94322723, 0.8688886, 0.7933672, 0.71682423, 0.63995826, 0.5644963, 0.48706096, 0.412808, 0.3373402, 0.2633672, 0.19030243, 0.117840156, 0.045673523, -0.026073797, -0.09672442, -0.16854678, -0.242762, -0.31403068, -0.3879341, -0.46217573, -0.5363642, -0.61156297, -0.68617046, -0.7605895, -0.8363479, -0.91103625, -0.98467076, -1.0561812, -1.1246222, -1.1908106, -1.2536544, -1.3107404, -1.3629175, -1.4098424, -1.4467564, -1.4789177, -1.5030576, -1.5221432, -1.5306113, -1.5331327, -1.5286598, -1.5193856, -1.5069447, -1.4894125, -1.4701653, -1.4494125, -1.4278159, -1.4075198, -1.3896166, -1.3779016, -1.3681972, -1.3650626, -1.3657622, -1.3699771, -1.3830036, -1.4025147, -1.4243745, -1.4525145, -1.4821007, -1.5135576, -1.5457352, -1.5778426, -1.6077025, -1.6341978, -1.6572458, -1.6724392, -1.6806114, -1.6819876, -1.6770846, -1.6628693, -1.6414233, -1.6106333, -1.5730901, -1.5280792, -1.4774181, -1.4218856, -1.3623105, -1.2992724, -1.2350736, -1.170993, -1.1083694, -1.0474502, -0.99069744, -0.93931556, -0.8923213, -0.84956294, -0.8130362, -0.7822459, -0.7582833, -0.7381168, -0.7230684, -0.71443915, -0.70840704, -0.703993, -0.70026207, -0.6995953, -0.69707376, -0.6979822, -0.6967297, -0.6949555, -0.6903049
[0][2], -1.5429771, -1.558278, -1.5563047, -1.5398961, -1.507805, -1.4669933, -1.4096599, -1.3430846, -1.2666652, -1.1878908, -1.0990739, -1.0049554, -0.9105737, -0.8120791, -0.7096761, -0.61096627, -0.51074594, -0.41033193, -0.31364372, -0.21994461, -0.1305954, -0.043342497, 0.041377768, 0.12353372, 0.20291016, 0.2790071, 0.35352305, 0.42707673, 0.4980769, 0.56836694, 0.6357811, 0.7054586, 0.7733508, 0.8383243, 0.905738, 0.9733027, 1.0422865, 1.1099532, 1.177824, 1.2468188, 1.3127865, 1.3797971, 1.4441037, 1.5063564, 1.5647596, 1.620136, 1.6686522, 1.714281, 1.7526253, 1.785711, 1.8127649, 1.8345015, 1.849996, 1.8586522, 1.8625119, 1.860808, 1.8534908, 1.8427383, 1.8305337, 1.813824, 1.7964426, 1.777652, 1.759394, 1.738437, 1.7166682, 1.6955714, 1.6732758, 1.6526036, 1.6298137, 1.6066899, 1.5835177, 1.5601681, 1.532577, 1.5057646, 1.4798619, 1.4492383, 1.4186145, 1.3878561, 1.3520392, 1.3154476, 1.2740122, 1.2314099, 1.1848296, 1.1359693, 1.0842001, 1.0270551, 0.96793675, 0.9067055, 0.8419475, 0.77529174, 0.7075555, 0.63863033, 0.57068443, 0.5032757, 0.437792, 0.37748545, 0.31876513, 0.26580262, 0.21994732, 0.17753386, 0.14199094, 0.111168176, 0.08595315, 0.06350674, 0.04326466, 0.024265008, 0.0017110062, -0.02351444, -0.055181243, -0.091853194, -0.13762209, -0.18931037, -0.25607377, -0.33275643, -0.4205469, -0.5178695, -0.6255844, -0.74263865, -0.8642081, -0.9917403, -1.1188585, -1.2435572, -1.3621974, -1.4693214, -1.5617296, -1.636848, -1.6886758, -1.7153263, -1.716875, -1.6922996, -1.6374236, -1.5589823, -1.4566326, -1.3331277, -1.1961436, -1.0485309, -0.8962028, -0.7457027, -0.6051222, -0.47635347, -0.36768666, -0.28234243, -0.2232512, -0.19193381, -0.18888041, -0.21410611, -0.26643398, -0.34176192, -0.43579933, -0.54401463, -0.66134775, -0.7787189, -0.89203066, -0.99285865, -1.0756544, -1.1351923, -1.1646973, -1.16395, -1.1309396, -1.0657834, -0.97198766, -0.85053617, -0.7109337, -0.55329424, -0.38640174, -0.21593422, -0.05072966, 0.10613058, 0.247862, 0.36677566, 0.46168458, 0.5264102, 0.5618673, 0.5667219, 0.539335, 0.47845843, 0.3951681, 0.28770584, 0.15907691, 0.017227395, -0.13892832, -0.30213296, -0.46755216, -0.63070804, -0.7890041, -0.9373534, -1.0712675, -1.192751, -1.2996544, -1.390273, -1.4598588, -1.5104605
[0][3], -2.3591542, -2.1907508, -2.0109448, -1.8195897, -1.6215092, -1.4285953, -1.2400631, -1.0597723, -0.8882243, -0.72626746, -0.58083165, -0.44440183, -0.319918, -0.21092322, -0.10747155, -0.021364272, 0.049636062, 0.10762529, 0.1653781, 0.22636709, 0.28386158, 0.33975938, 0.392625, 0.44243708, 0.49963585, 0.55113596, 0.6071195, 0.6623885, 0.7205068, 0.7793186, 0.8417651, 0.89518416, 0.9475607, 0.9997059, 1.0494101, 1.099281, 1.1455175, 1.1918776, 1.2403668, 1.2874639, 1.3336196, 1.3814639, 1.4242489, 1.4657384, 1.501281, 1.530668, 1.552222, 1.5679424, 1.5760765, 1.5748563, 1.5666305, 1.5519799, 1.5306683, 1.504421, 1.4741253, 1.442394, 1.4092435, 1.376953, 1.349002, 1.32398, 1.304335, 1.2879047, 1.2785984, 1.2751465, 1.2778133, 1.2862054, 1.2954906, 1.3058566, 1.315007, 1.3249317, 1.3288349, 1.3294909, 1.3236088, 1.3114477, 1.2949047, 1.2769207, 1.2592812, 1.2363131, 1.2130767, 1.1902381, 1.1724641, 1.1585176, 1.1484373, 1.140566, 1.1336735, 1.12905, 1.1212809, 1.1118674, 1.0964639, 1.0762813, 1.0489477, 1.0154426, 0.9763455, 0.9302703, 0.8823618, 0.83104455, 0.7795176, 0.72665197, 0.67799085, 0.6333457, 0.5898402, 0.5536896, 0.5213136, 0.48963594, 0.4600767, 0.4293348, 0.39574906, 0.3575391, 0.31166294, 0.2578671, 0.193921, 0.12073272, 0.035625305, -0.059229527, -0.16466504, -0.28067017, -0.4079608, -0.54269207, -0.6859015, -0.8336275, -0.98504156, -1.137579, -1.2848747, -1.4250897, -1.5508372, -1.6563534, -1.7371596, -1.7898641, -1.8011706, -1.77052, -1.6895735, -1.5563213, -1.3752513, -1.1461434, -0.8800418, -0.58822954, -0.2888589, 0.004259735, 0.27537248, 0.5079904, 0.69692624, 0.8330336, 0.9119692, 0.93387234, 0.8972166, 0.8084534, 0.67551214, 0.5017811, 0.29800147, 0.08231877, -0.11751437, -0.31004685, -0.46891227, -0.57998216, -0.6282297, -0.6073638, -0.6082243, -0.42213276, -0.15703622, 0.18338317, 0.5388619, 0.90316814, 1.2666951, 1.6231254, 1.9534047, 2.247448, 2.4877865, 2.6676302, 2.6894212, 2.718184, 2.6667917, 2.5337431, 2.324222, 2.045727, 1.7066303, 1.3214104, 0.90151775, 0.4617381, -0.0016219338, -0.461848, -0.9033211, -1.317945, -1.6890469, -2.0115147, -2.2796168, -2.485455, -2.6275525, -2.7087455, -2.7291114, -2.694762, -2.6182299, -2.5057883
[0][4], -2.7096493, -2.3302295, -1.9581649, -1.5762082, -1.23138, -0.92842877, -0.655692, -0.42358997, -0.23963828, -0.071245715, 0.050361812, 0.13915734, 0.17862509, 0.16622733, 0.11971115, 0.0660552, 0.0057488997, -0.053767096, -0.11056303, -0.16092342, -0.16115986, -0.14210597, -0.09393959, -0.024245553, 0.08389411, 0.2337005, 0.3821038, 0.51263064, 0.6088133, 0.71517354, 0.88541526, 0.98887247, 1.0821573, 1.1558187, 1.1269585, 1.154356, 1.1923401, 1.2270659, 1.2598832, 1.286862, 1.3263726, 1.3599101, 1.3885176, 1.4167114, 1.4421948, 1.4577438, 1.4644798, 1.4619641, 1.4461842, 1.4209046, 1.3800982, 1.2463887, 1.2857109, 1.227738, 1.1655552, 1.103147, 1.0460659, 0.99307156, 0.94978106, 0.9210552, 0.9123562, 0.91654456, 0.9431039, 0.98823833, 1.0513778, 1.129093, 1.2150339, 1.3015714, 1.3856628, 1.4591628, 1.5134263, 1.5458455, 1.5555818, 1.5404105, 1.5032275, 1.4482806, 1.3805984, 1.3078243, 1.2358671, 1.1730283, 1.1231467, 1.0890714, 1.0743293, 1.077808, 1.0963296, 1.1212863, 1.148668, 1.1756306, 1.1927222, 1.1973456, 1.1865876, 1.1576251, 1.116308, 1.0601414, 0.993948, 0.92331874, 0.84992623, 0.77741015, 0.7089049, 0.6428347, 0.57994777, 0.51871127, 0.45595872, 0.3863242, 0.30913064, 0.22228102, 0.12637779, 0.016474731, -0.103949994, -0.23197156, -0.36475673, -0.49991816, -0.6301382, -0.7566812, -0.87218684, -0.97322994, -1.059789, -1.1299931, -1.1882024, -1.238337, -1.2832563, -1.3262461, -1.3702134, -1.4168853, -1.4683857, -1.5214233, -1.573934, -1.6233102, -1.6550198, -1.6662565, -1.6459769, -1.5833913, -1.4711491, -1.3048156, -1.0920414, -0.8415415, -0.56574017, -0.28532636, -0.022890842, 0.2024154, 0.37365204, 0.48031345, 0.4866787, 0.46210888, 0.36875966, 0.21836177, 0.031947747, -0.18335864, -0.40264902, -0.6031492, -0.7567673, -0.8361114, -0.8176973, -0.68915457, -0.4386596, -0.07605233, 0.39451763, 0.9433511, 1.5440663, 2.17534, 2.820222, 3.461399, 4.061851, 4.586303, 5.00041, 5.275771, 5.3977976, 5.4705286, 5.2711463, 4.9168835, 4.4282007, 3.824889, 3.1286898, 2.3619962, 1.550405, 0.72093177, -0.12753606, -0.95231044, -1.7335683, -2.447063, -3.0182564, -3.5359933, -3.9761436, -4.1531653, -4.6095624, -4.6615424, -4.596568, -4.423536, -4.1701756, -3.8501542, -3.4898322, -3.102461
[0][5], -2.9901814, -2.582455, -2.1181595, -1.6711007, -1.2659395, -0.9102833, -0.5603158, -0.2180038, -0.080192104, -0.009708277, -0.0031435688, -0.03628355, -0.17302006, -0.3175683, -0.49039632, -0.67181015, -0.8456329, -0.9893962, -1.0892892, -1.1304499, -1.1148857, -1.0198157, -0.8585789, -0.64965975, -0.39168105, -0.11913821, 0.15714163, 0.42196396, 0.6582973, 0.85281867, 1.0133079, 1.1379049, 1.2110391, 1.2544637, 1.2646898, 1.2610283, 1.2573026, 1.271335, 1.2964854, 1.3502598, 1.4374636, 1.5130924, 1.5899531, 1.677066, 1.7623616, 1.8336092, 1.8835607, 1.9127648, 1.9197276, 1.9082382, 1.8821144, 1.7191898, 1.6646252, 1.5993241, 1.7188941, 1.6293185, 1.4801631, 1.3595014, 1.2647865, 1.1806953, 1.112394, 1.0637596, 1.0415823, 1.0519855, 1.0965124, 1.1698402, 1.2666199, 1.3691037, 1.471082, 1.5599799, 1.6192272, 1.6468565, 1.6332113, 1.5825607, 1.4951574, 1.3796844, 1.2485659, 1.1116735, 0.9850768, 0.8841895, 0.81390446, 0.7808724, 0.7797542, 0.8041359, 0.84481865, 0.88748544, 0.92435634, 0.94087243, 0.9334101, 0.8930714, 0.81877035, 0.7207056, 0.60299057, 0.4824209, 0.362824, 0.25910375, 0.17859294, 0.12436692, 0.09584569, 0.08827567, 0.094991, 0.10966841, 0.121587485, 0.11934555, 0.10518421, 0.0735661, 0.023866959, -0.04315996, -0.12543407, -0.21809538, -0.31970268, -0.42772448, -0.5368854, -0.64186406, -0.73971343, -0.82552546, -0.89270294, -0.9426599, -0.9763102, -0.9992782, -1.0086868, -1.0165789, -1.0277724, -1.0530578, -1.0997297, -1.1723802, -1.2722566, -1.4024072, -1.5542084, -1.713805, -1.867536, -1.9931704, -2.0734608, -2.0978537, -2.0599291, -1.960111, -1.8858157, -1.6999986, -1.4933317, -1.2563533, -1.1304606, -1.0714233, -1.0896004, -1.135961, -1.2901543, -1.5283158, -1.7705737, -2.01595, -2.2420413, -2.392982, -2.4526541, -2.3873584, -2.1211276, -1.6361811, -0.96438587, -0.14610581, 0.74483496, 1.7564962, 2.748034, 3.8117492, 4.783593, 5.641631, 6.3313413, 6.821292, 7.0809736, 7.109351, 6.9136577, 6.515507, 5.9483285, 5.2408514, 4.4288883, 3.5435874, 2.6110337, 1.6448188, 0.6660663, -0.30443382, -1.2478856, -2.1421814, -2.962434, -3.6859715, -4.2952456, -4.692166, -5.235149, -5.424423, -5.46438, -5.3640623, -5.1369767, -4.804826, -4.401692, -3.957998, -3.5439498, -3.277267
[0][6], -2.9275956, -2.4539018, -2.002595, -1.5716223, -1.1755949, -0.8268156, -0.5463155, -0.32678863, -0.15117583, -0.044992976, -0.08919744, -0.18450913, -0.34880513, -0.5125681, -0.7208317, -0.9185628, -1.0648583, -1.1333318, -1.1205308, -1.0263536, -0.8478156, -0.58574015, -0.25750905, 0.10218995, 0.4983833, 0.8860606, 1.2276953, 1.5015826, 1.7178291, 1.8733189, 1.9443296, 1.9377326, 1.8944266, 1.8104316, 1.7108511, 1.6167222, 1.5612811, 1.5446846, 1.5049691, 1.4969531, 1.5907006, 1.7272594, 1.8712269, 2.0094528, 2.1189423, 2.1929693, 2.227862, 2.2272973, 2.1951144, 2.1420715, 2.0738137, 1.9998777, 1.9217277, 1.8468668, 1.7531412, 1.5956953, 1.5144532, 1.4841466, 1.3933082, 1.2798347, 1.16926, 1.0770068, 1.0127327, 0.98791575, 1.0111735, 1.0750335, 1.1710395, 1.2748564, 1.3689369, 1.43705, 1.4602597, 1.442308, 1.3813726, 1.2862058, 1.1662971, 1.0348078, 0.90832406, 0.7983187, 0.7176893, 0.6725553, 0.66855526, 0.7036092, 0.76728654, 0.8507434, 0.93538845, 1.0014209, 1.0379853, 1.0319315, 0.9774801, 0.87834036, 0.7402326, 0.58242625, 0.41792586, 0.26878655, 0.15187792, 0.07810368, 0.05113064, 0.07275435, 0.12356605, 0.18965772, 0.25007647, 0.28714114, 0.29330775, 0.26248515, 0.20454432, 0.13166817, 0.059711162, 0.0026414394, -0.029455591, -0.034122244, -0.016917849, 0.010162974, 0.03543184, 0.0400985, 0.01606613, -0.04013299, -0.12380485, -0.2281597, -0.3395951, -0.44455227, -0.5357241, -0.60403615, -0.6628802, -0.7181491, -0.78887475, -0.88770807, -1.0276059, -1.2149827, -1.4442995, -1.7797564, -2.130402, -2.2084877, -2.3940463, -2.5154498, -2.5512614, -2.4988587, -2.5052783, -2.190009, -1.9772835, -1.7671921, -1.5971009, -1.499611, -1.4816221, -1.5623858, -1.7363315, -1.9884555, -2.1895094, -2.5022025, -2.7915308, -3.1144176, -3.2724395, -3.2230525, -3.011181, -2.563574, -1.8804181, -0.94829404, -0.024062943, 0.9918026, 2.1204102, 3.240706, 4.24919, 5.1055503, 5.7511997, 6.160028, 6.3113937, 6.215158, 5.918974, 5.461335, 4.8940444, 4.2333503, 3.500518, 2.7024214, 1.8418187, 0.95771146, 0.058501594, -0.8388641, -1.7199986, -2.5591974, -3.3320472, -4.006009, -4.4961653, -4.7899337, -5.369283, -5.4481874, -5.410316, -5.246218, -4.971542, -4.617536, -4.235019, -4.011891, -3.7735841, -3.391848
[0][7], -2.621611, -2.1640255, -1.7396488, -1.3402193, -0.97951984, -0.6709446, -0.42872962, -0.25971344, -0.1692887, -0.15936394, -0.15937468, -0.2383962, -0.42129418, -0.624891, -0.7917458, -0.8742082, -0.87045556, -0.77325094, -0.55169713, -0.25017035, 0.09923287, 0.5006305, 0.9441789, 1.3861634, 1.8097647, 2.153937, 2.3972487, 2.5434904, 2.5918405, 2.5447004, 2.3970287, 1.9955391, 1.8274744, 1.7198294, 1.5959531, 1.5107223, 1.4829694, 1.5104154, 1.5915877, 1.7095879, 1.8482543, 1.986421, 2.107292, 2.2005556, 2.24941, 2.2489152, 2.2035015, 2.0988348, 1.8713723, 1.7414529, 1.6022164, 1.4783938, 1.3714906, 1.2885174, 1.2237431, 1.168749, 1.1144423, 1.0493401, 0.9694856, 0.8820661, 0.80463594, 0.7765394, 0.7568726, 0.7950123, 0.8979264, 1.0472811, 1.2162058, 1.3661411, 1.467684, 1.5003135, 1.461023, 1.3672976, 1.2388836, 1.1051788, 0.93563056, 0.8480551, 0.87285614, 0.846593, 0.8045767, 0.8193028, 0.8419636, 0.85611457, 0.85900694, 0.8515013, 0.83408195, 0.80244255, 0.7579372, 0.6943941, 0.6098833, 0.5043671, 0.3848458, 0.2676951, 0.1629423, 0.08891017, 0.05797453, 0.07700691, 0.14012524, 0.23239954, 0.32278106, 0.3836091, 0.38130802, 0.29679713, 0.123893894, -0.1220469, -0.41363317, -0.7139879, -0.9779179, -1.1721332, -1.2735256, -1.2759179, -1.2028857, -1.0782298, -0.944375, -0.8344556, -0.7761758, -0.77729416, -0.82759553, -0.90658987, -0.98318124, -1.0274396, -1.0190037, -0.94963825, -0.8357672, -0.70166516, -0.58352005, -0.52067065, -0.5376813, -0.6499717, -0.8492672, -1.117015, -1.5573534, -1.6158694, -1.8414232, -2.101945, -2.0502994, -2.0178425, -2.1065521, -1.8461543, -1.6232083, -1.3173696, -1.2852296, -1.1117941, -0.9981597, -0.8825901, -0.9301113, -1.0383912, -1.1975683, -1.39552, -1.6502888, -1.8720254, -2.0867565, -2.2076275, -2.2151003, -2.0839288, -1.7845953, -1.3330306, -0.76576734, -0.08984263, 0.6902918, 1.5581415, 2.426813, 3.2706094, 3.9638832, 4.5227866, 4.9429317, 5.1351037, 5.142287, 4.972314, 4.6599164, 4.2004695, 3.595744, 2.843727, 1.9306252, 0.9212007, -0.16474037, -1.2991921, -2.4365628, -3.5190358, -4.4826536, -5.260364, -5.819192, -5.9333267, -6.4066114, -6.293246, -6.0480957, -5.698374, -5.4488854, -5.2183, -4.705342, -4.1686273, -3.621154, -3.1107564
[0][8], -1.8526756, -1.512391, -1.2030735, -0.9184553, -0.6586918, -0.41805217, -0.19265415, 0.017367039, 0.18137814, 0.28651255, 0.33242115, 0.3151306, 0.28444245, 0.26153925, 0.23678139, 0.23139428, 0.27087274, 0.36826503, 0.52923256, 0.75263613, 1.0256145, 1.3507164, 1.7047709, 2.0630715, 2.3888137, 2.623711, 2.7449265, 2.7721252, 2.653975, 2.2098348, 2.012878, 1.8434103, 1.6302863, 1.4668726, 1.3705125, 1.3304528, 1.3751521, 1.4730448, 1.6089534, 1.7352543, 1.8626951, 1.9735715, 2.0687058, 2.1491895, 2.075986, 2.1240015, 2.1456304, 2.1379266, 2.086491, 1.9865174, 1.8496093, 1.6909261, 1.5320016, 1.3912002, 1.2792543, 1.192206, 1.1202272, 1.0453403, 0.95770067, 0.85650146, 0.76985115, 0.72405535, 0.73996913, 0.8458941, 1.0665772, 1.2984797, 1.4655715, 1.6242487, 1.724819, 1.6948673, 1.5519048, 1.360281, 1.1760877, 1.0479369, 0.99895805, 1.0306305, 1.0949694, 1.1805232, 1.2226198, 1.2044747, 1.1069425, 0.93322176, 0.7107705, 0.4742864, 0.25892088, 0.091931514, -0.022272443, -0.0886491, -0.12245014, -0.14685322, -0.17877795, -0.22984248, -0.2991382, -0.37740177, -0.44995028, -0.506649, -0.5469232, -0.5713694, -0.5957405, -0.63714904, -0.7131597, -0.83578366, -1.0076916, -1.2206863, -1.449606, -1.663197, -1.8267404, -1.9116435, -1.8998425, -1.7880522, -1.6121272, -1.4161599, -1.2449932, -1.1321223, -1.0925685, -1.1256115, -1.199176, -1.2703855, -1.2948264, -1.2268372, -1.0523047, -0.7784554, -0.44793412, -0.119240426, 0.14260378, 0.28453916, 0.25207672, 0.12196389, -0.12480496, -0.44302008, -0.81309545, -1.2222025, -1.486719, -1.7240522, -1.884407, -1.888337, -2.0804608, -1.9917134, -1.9244981, -1.7556592, -1.6501975, -1.5812296, -1.3652995, -1.2169497, -1.1377188, -0.9887511, -0.9234501, -0.9070846, -0.8972511, -1.0327834, -1.0998533, -1.1037942, -1.1350466, -1.1462783, -1.1004931, -0.9858749, -0.7886543, -0.47620782, -0.04855779, 0.4719209, 1.0661199, 1.7744266, 2.5162435, 3.1946843, 4.1391897, 4.849899, 5.3917003, 5.689168, 5.6966786, 5.368103, 4.672539, 3.6632545, 2.414781, 1.018851, -0.48235863, -2.035832, -3.537407, -4.861649, -5.9074926, -6.60758, -6.947637, -7.0885625, -6.827547, -6.421375, -6.20311, -5.7408166, -5.088504, -4.434671, -3.8055143, -3.2279608, -2.7050629, -2.2390628
[0][9], -0.92146075, -0.69843894, -0.49090707, -0.26840696, 6.6811644E-4, 0.33662528, 0.73521125, 1.1725771, 1.5745337, 1.8986683, 2.1198673, 2.230733, 2.2465286, 2.1911469, 2.0906038, 1.9688777, 1.8495282, 1.7487382, 1.6862111, 1.6797543, 1.745765, 1.8953779, 2.1209965, 2.3995981, 2.6928031, 2.9492974, 3.1168187, 3.1357493, 2.9510765, 2.4877648, 2.3458185, 2.0609858, 1.7735124, 1.5256895, 1.3717811, 1.3138455, 1.3881252, 1.3442439, 1.4542757, 1.6947329, 1.6802973, 1.7967814, 1.9445069, 2.1255825, 2.3504152, 2.6079857, 2.8606465, 3.05655, 3.1405823, 3.0774534, 2.8766413, 2.5653887, 2.1870282, 1.8528831, 1.5011522, 1.3242759, 1.2848508, 1.2895982, 1.1470714, 1.0751686, 0.9956411, 0.94599605, 0.9678026, 1.0883942, 1.2894906, 1.5263351, 1.7202376, 1.8150018, 1.8952867, 1.7522651, 1.5029638, 1.1832545, 0.97212, 0.8924154, 0.9219853, 1.012378, 1.1447974, 1.2232972, 1.2158188, 1.1031041, 0.9082381, 0.6790122, 0.42370585, 0.21931885, 0.0959692, 0.069039084, 0.11800692, 0.21089411, 0.30525953, 0.36028093, 0.346265, 0.24916849, 0.06371138, -0.195434, -0.51538014, -0.87190175, -1.3370576, -1.6881708, -1.85545, -2.067015, -2.1817403, -2.1864018, -2.0801923, -1.8824611, -1.6124932, -1.2969395, -0.9573372, -0.60900396, -0.2681115, 0.059302446, 0.35355008, 0.58423793, 0.7219479, 0.74479717, 0.65414655, 0.47342643, 0.2480552, 0.028587468, -0.11979449, -0.15682086, -0.067407064, 0.11647998, 0.33523837, 0.51979184, 0.60847974, 0.5656789, 0.39422733, 0.10632428, -0.2028263, -0.52710617, -0.7837726, -1.0099337, -1.188762, -1.3326061, -1.45852, -1.5807025, -1.7224985, -1.9010252, -1.9714506, -1.9793103, -1.906708, -1.6768372, -1.4858693, -1.3579017, -1.1907939, -1.022676, -0.99096614, -1.0293105, -1.0479016, -1.0738316, -1.0568049, -0.98553056, -0.8814929, -0.7545362, -0.64171356, -0.56876725, -0.5849556, -0.68740714, -0.81318665, -0.84428877, -0.64648795, -0.17440173, 0.57464635, 1.5706413, 2.7810555, 4.0167756, 5.216206, 5.8853784, 5.912173, 5.288862, 4.1152806, 2.6210175, 1.0192543, -0.64752525, -2.3271005, -3.9065742, -5.242353, -6.2237678, -6.4490304, -6.569084, -6.358417, -6.260907, -5.792181, -5.415052, -4.7296224, -4.0131807, -3.371563, -2.8212826, -2.3231597, -1.8956866, -1.5169607, -1.1905522
